SKU,item,categoria,descricao,preco,status,classificacao_adicional,observacoes,foto_url
0021,Torrada Petrópolis,salgados,Clássica e amanteigada,"8,00",Ativo,,2 fatias,https://drive.google.com/file/d/1ZhyQf4-k60QHBKgrwldlyQU8ES-Ujtcx/view?usp=drive_link
0022,Croissant,salgados,Massa folhada crocante e amanteigada,"14,00",Ativo,,1 un,https://drive.google.com/file/d/11BvfhMSFAQr9Sc8VSmkEe3hkjwl7K7CN/view?usp=drive_link
0023,Tapioca Doce,salgados,Tradicional com coco e leite condensado,"11,00",Ativo,,1 un,https://drive.google.com/file/d/1cqRDq4XfZZU6-OmiG5rhDb5iy85gDvJB/view?usp=drive_link
0024,Sanduíche Caprese,salgados,"Pão artesanal, tomate, queijo, pesto","22,00",Ativo,,1 un,https://drive.google.com/file/d/1r-oL5O2mXLOG-3DeqYHuJeuAZMbtYGnO/view?usp=drive_link
0025,Pão de Queijo,salgados,"Clássico mineiro, crocante e macio","6,00",Ativo,,6 un,https://drive.google.com/file/d/1DOFPbs3HRFmkN5g8lZNj4sv4y2czSX92/view?usp=drive_link
0026,Sanduíche de Pastrami,salgados,Pão de fermentação natural e pastrami,"24,00",Ativo,,1 un,https://drive.google.com/file/d/1eYFYjTYSwr3jLSbfFoG5p9OmutLt5ITi/view?usp=drive_link
0027,Bagel com Cream Cheese,salgados,"Tradicional americano, cream cheese cremoso","16,00",Ativo,,1 un,https://drive.google.com/file/d/1aj28T7KRLI_f4aSWm_zG154tv5qtVHvX/view?usp=drive_link
0028,Quiche de Alho-Poró,salgados,"Leve, com massa amanteigada e recheio cremoso","18,00",Ativo,,1 fatia,https://drive.google.com/file/d/1EnperNGRkFq-ETp38IUYetpNPiEy6XhY/view?usp=drive_link
0029,Empada de Frango,salgados,Recheio caseiro e massa macia,"9,00",Ativo,,1 un,https://drive.google.com/file/d/1XLQlpgU9yt_NDpXbQYmMHrfedfypERnD/view?usp=drive_link
0030,Tostex Misto,salgados,Clássico misto-quente com queijo derretido,"12,00",Ativo,,1 un,https://drive.google.com/file/d/15OVv38G2GIptqqdZgGvnTpPGhs8CD9CD/view?usp=drive_link
